Week,machine learning: (India)
27-11-2016,33
04-12-2016,30
11-12-2016,35
18-12-2016,28
25-12-2016,25
01-01-2017,39
08-01-2017,44
15-01-2017,33
22-01-2017,35
29-01-2017,31
05-02-2017,40
12-02-2017,35
19-02-2017,32
26-02-2017,31
05-03-2017,39
12-03-2017,38
19-03-2017,35
26-03-2017,33
02-04-2017,42
09-04-2017,36
16-04-2017,38
23-04-2017,40
30-04-2017,39
07-05-2017,42
14-05-2017,45
21-05-2017,54
28-05-2017,40
04-06-2017,42
11-06-2017,44
18-06-2017,48
25-06-2017,50
02-07-2017,46
09-07-2017,43
16-07-2017,48
23-07-2017,51
30-07-2017,54
06-08-2017,42
13-08-2017,49
20-08-2017,43
27-08-2017,47
03-09-2017,53
10-09-2017,57
17-09-2017,54
24-09-2017,51
01-10-2017,49
08-10-2017,59
15-10-2017,47
22-10-2017,57
29-10-2017,47
05-11-2017,61
12-11-2017,61
19-11-2017,48
26-11-2017,69
03-12-2017,62
10-12-2017,62
17-12-2017,51
24-12-2017,51
31-12-2017,51
07-01-2018,63
14-01-2018,65
21-01-2018,60
28-01-2018,61
04-02-2018,64
11-02-2018,59
18-02-2018,71
25-02-2018,65
04-03-2018,57
11-03-2018,64
18-03-2018,65
25-03-2018,53
01-04-2018,63
08-04-2018,60
15-04-2018,43
22-04-2018,57
29-04-2018,52
06-05-2018,58
13-05-2018,54
20-05-2018,61
27-05-2018,52
03-06-2018,61
10-06-2018,57
17-06-2018,55
24-06-2018,54
01-07-2018,54
08-07-2018,68
15-07-2018,56
22-07-2018,61
29-07-2018,58
05-08-2018,60
12-08-2018,49
19-08-2018,54
26-08-2018,54
02-09-2018,55
09-09-2018,51
16-09-2018,47
23-09-2018,53
30-09-2018,56
07-10-2018,56
14-10-2018,52
21-10-2018,50
28-10-2018,54
04-11-2018,34
11-11-2018,58
18-11-2018,55
25-11-2018,66
02-12-2018,64
09-12-2018,42
16-12-2018,55
23-12-2018,52
30-12-2018,45
06-01-2019,62
13-01-2019,56
20-01-2019,67
27-01-2019,69
03-02-2019,66
10-02-2019,62
17-02-2019,67
24-02-2019,51
03-03-2019,61
10-03-2019,64
17-03-2019,61
24-03-2019,67
31-03-2019,51
07-04-2019,63
14-04-2019,59
21-04-2019,54
28-04-2019,63
05-05-2019,62
12-05-2019,58
19-05-2019,56
26-05-2019,60
02-06-2019,60
09-06-2019,63
16-06-2019,62
23-06-2019,65
30-06-2019,59
07-07-2019,56
14-07-2019,65
21-07-2019,62
28-07-2019,64
04-08-2019,65
11-08-2019,64
18-08-2019,84
25-08-2019,83
01-09-2019,67
08-09-2019,84
15-09-2019,80
22-09-2019,89
29-09-2019,52
06-10-2019,61
13-10-2019,64
20-10-2019,66
27-10-2019,48
03-11-2019,73
10-11-2019,70
17-11-2019,80
24-11-2019,88
01-12-2019,76
08-12-2019,91
15-12-2019,78
22-12-2019,56
29-12-2019,68
05-01-2020,76
12-01-2020,63
19-01-2020,91
26-01-2020,77
02-02-2020,80
09-02-2020,69
16-02-2020,81
23-02-2020,92
01-03-2020,81
08-03-2020,77
15-03-2020,51
22-03-2020,51
29-03-2020,65
05-04-2020,72
12-04-2020,75
19-04-2020,77
26-04-2020,100
03-05-2020,78
10-05-2020,84
17-05-2020,89
24-05-2020,77
31-05-2020,74
07-06-2020,71
14-06-2020,73
21-06-2020,58
28-06-2020,68
05-07-2020,63
12-07-2020,62
19-07-2020,77
26-07-2020,73
02-08-2020,66
09-08-2020,59
16-08-2020,73
23-08-2020,75
30-08-2020,78
06-09-2020,72
13-09-2020,73
20-09-2020,65
27-09-2020,62
04-10-2020,53
11-10-2020,56
18-10-2020,49
25-10-2020,51
01-11-2020,57
08-11-2020,50
15-11-2020,61
22-11-2020,57
29-11-2020,63
06-12-2020,57
13-12-2020,61
20-12-2020,61
27-12-2020,58
03-01-2021,60
10-01-2021,53
17-01-2021,52
24-01-2021,63
31-01-2021,69
07-02-2021,60
14-02-2021,53
21-02-2021,73
28-02-2021,65
07-03-2021,64
14-03-2021,67
21-03-2021,65
28-03-2021,51
04-04-2021,63
11-04-2021,59
18-04-2021,63
25-04-2021,56
02-05-2021,56
09-05-2021,64
16-05-2021,72
23-05-2021,72
30-05-2021,75
06-06-2021,69
13-06-2021,68
20-06-2021,66
27-06-2021,76
04-07-2021,68
11-07-2021,78
18-07-2021,77
25-07-2021,67
01-08-2021,53
08-08-2021,56
15-08-2021,60
22-08-2021,68
29-08-2021,57
05-09-2021,50
12-09-2021,59
19-09-2021,68
26-09-2021,68
03-10-2021,67
10-10-2021,55
17-10-2021,61
24-10-2021,71
31-10-2021,45
07-11-2021,62
14-11-2021,70
